"id","age","year","wrkstat","hrs1","marital","degree","sphrs1","postlife","sex","SIBS","agekdbrn","othlang","born","neisafe","hsbio","hschem","natspac","nextgen","grass","hrlax","colsci","fmi","numpets","trust","tvhours","sop","ssi","sphrs2","educ","moos","faos","realrinc","wordsum","rhs","Male","pres"
398,69,2018,"working parttime",30,"married","graduate",NA,"no","male",2,28,"yes","yes","very safe","yes","yes","about right","strongly agree","legal",1,"yes",54480,NA,"can trust",1,56,88,NA,19,31,26,54480,9,"good","male",63
1295,69,2018,"working fulltime",25,"widowed","lt high school",NA,"no","female",2,19,"no","yes","somewhat safe",NA,NA,NA,NA,"not legal",5,NA,5107,1,NA,3,NA,NA,NA,11,NA,38,5107,2,NA,"female",25
1085,69,2018,"working parttime",25,"divorced","high school",NA,"yes","female",3,23,"yes","yes","somewhat safe",NA,NA,"about right",NA,"not legal",4,NA,17025,0,"can't be too careful",NA,NA,NA,NA,9,27,42,6242,NA,"good","female",48
1961,69,2018,"working parttime",22,"divorced","high school",NA,"yes","female",4,21,"no","yes","somewhat unsafe",NA,NA,"about right",NA,"not legal",4,NA,14755,0,"can't be too careful",NA,NA,NA,NA,14,NA,33,7377,NA,"excellent","female",26
305,69,2018,"working parttime",6,"married","high school",24,NA,"male",0,24,"no","yes","very safe",NA,NA,NA,NA,"legal",5,NA,30645,0,"can trust",NA,21,32,NA,14,28,44,2043,NA,NA,"male",31
97,69,2018,"retired",NA,"married","high school",NA,NA,"female",4,17,"no","yes","somewhat safe",NA,NA,"too much",NA,"legal",NA,NA,45400,1,"can't be too careful",NA,45,58,NA,13,25,48,NA,NA,"fair","female",42
206,69,2018,"retired",NA,"widowed","high school",NA,"yes","female",4,21,"no","yes","very safe","yes","no",NA,"strongly agree","legal",NA,"no",45400,NA,"can't be too careful",4,NA,NA,NA,12,NA,40,NA,7,"good","female",32
261,69,2018,"retired",NA,"married","bachelor",30,"yes","female",4,28,"no","yes","very safe","yes","yes","about right","strongly agree",NA,NA,"yes",72640,NA,NA,1,56,76,NA,16,NA,60,NA,10,"excellent","female",55
406,69,2018,"retired",NA,"married","high school",NA,"yes","male",2,22,"no","yes","somewhat safe","yes","yes","too little","agree","not legal",NA,"yes",20430,NA,"can trust",3,38,61,NA,15,NA,46,NA,8,"excellent","male",35
411,69,2018,"retired",NA,"married","high school",NA,"yes","female",2,22,"no","yes","very safe","yes","yes","about right","strongly agree","not legal",NA,"yes",NA,NA,"can trust",3,61,80,NA,15,NA,28,NA,7,"excellent","female",35
